plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,768,2026.08.04-v1,c3202e37409cbf70ac6e9ebeff9af1593db86f5e9d1e7f83328c13e63ae11da0,
hemolysis_risk,complete,768,macrel-1.6.1-8c1f732,9d4d1b1501b8c94acf12b7e6dd1545332e840ec20add11b6f346bcc76c804c18,
toxicity_risk,complete,768,toxinpred3-corrected-v0.2-dcdba83,780b6f548c6397c8d9223e8e72dea21df36b3d780d5aced730c7f0a14f5db04a,
mic_potency,complete,768,llamp-bb48daa-esm2-16b0dddc,b6a3da0ddb326b24f7d79acf8ed32a0d094f9d1cc03baf3d16b2cc8ce879c1e8,
mic_potency_amp_read,complete,768,amp-read-ec9478b-open-weights-cpu-v1,5c93cde94de0022f85cd96d1c806a42ef8df869c38c4c40ff77ae7ac9d913da8,
