plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,200,2026.08.04-v1,8df9c290a26ca2b3274fde6f5d828e07e3641485f0d9ccd8b55c7eafa996e3b6,
hemolysis_risk,complete,200,macrel-1.6.1-8c1f732,1e8caa8af94941774a7b8902b65891f1454d118a71424f95e17dbb7a055f85a9,
toxicity_risk,complete,200,toxinpred3-corrected-v0.2-dcdba83,81f55345ab6d06abfc8079ac79e4342dd2339157324e18bacd9c19ad7e2a1db6,
mic_potency,complete,200,llamp-bb48daa-esm2-16b0dddc,2f6efe9a05252239da3ea066085f1e7a45c096c59fb361cd1a81d82e0f8501af,
mic_potency_amp_read,complete,200,amp-read-ec9478b-open-weights-cpu-v1,daa7b3da809c89c09ab54229c060fd67b0045a8422fc856254519475e3a962a1,
