plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,53,2026.08.04-v1,633ecad52940ee563fb150ef588beb18030833bd5043c8e7e7c2c44e1e26c8f9,
hemolysis_risk,complete,53,macrel-1.6.1-8c1f732,42a9ed41789c2be4bab788eb111e178c25f4cc9585ae5a8fc1ad7d6da58e71c4,
toxicity_risk,complete,53,toxinpred3-corrected-v0.2-dcdba83,f3de69c3b7cd87ac5332590a799c7cf29e5e3ff2d1a2233774621a30ce054a09,
mic_potency,complete,53,llamp-bb48daa-esm2-16b0dddc,ec699cd3622bbd34647ff707dd1266720f8d0320742789be738e8e24f611e5a3,
mic_potency_amp_read,complete,53,amp-read-ec9478b-open-weights-cpu-v1,f6ea5e90aacb5c26577c9c3186e5ce1d12362ef7be71d007e30a06391ce5f3db,
