plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,221,2026.08.04-v1,8452921121c7b98143a306147d0c765c5acc877336b9ef2af6314495d0eec3dc,
hemolysis_risk,complete,221,macrel-1.6.1-8c1f732,18bc80622e0cea93d3023e305b583f5b9f315999f681a61cfdcc38d2ddedc80f,
toxicity_risk,complete,221,toxinpred3-corrected-v0.2-dcdba83,7b6a61ca73420f01425864cd92efc98d8dbf374139942607ebb3922985122c65,
mic_potency,complete,221,llamp-bb48daa-esm2-16b0dddc,3b4c54d4f3bd1971d36049758173a2a83449420f1b71308bc5e8fcac13e41251,
mic_potency_amp_read,complete,221,amp-read-ec9478b-open-weights-cpu-v1,192552c95536a2802d6c0ffbe83fb7fcfefebdb83da1c7f1ab798df8449c9045,
