plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,48,2026.08.04-v1,134447e1f724d26a5858cd85aadd539e334f4aa710510e256c73da3dd77c8fe6,
hemolysis_risk,complete,48,macrel-1.6.1-8c1f732,050c545340f38194764e4b287aa17ebbdad125b3405eebae84fc922678ca99fd,
toxicity_risk,complete,48,toxinpred3-corrected-v0.2-dcdba83,418bdc7e576b193dc341ef6be11a74d43ae3f8a4b6ba55ee536fa75feedd069e,
mic_potency,complete,48,llamp-bb48daa-esm2-16b0dddc,d99b5ef0bd961b49741fc2a7be51ec4361286ea18827a2d036da02980b386cb3,
mic_potency_amp_read,complete,48,amp-read-ec9478b-open-weights-cpu-v1,0c3ef9c789cf9030a5954609a919f2f890d97fe7e8875753d21640827c79df60,
