plugin,status,candidate_count,adapter_version,result_sha256,reused_verified_result,reason_category
physicochemical_developability,complete,8,2026.08.04-v1,0f9fc4e33a142fe290b0f3118add1d34c985d79f5045985bc7e1bec1f93beed6,False,
hemolysis_risk,complete,8,macrel-1.6.1-8c1f732,38e6a8fc6e991e9f2f7741c0c93ea7af08ca854161695f696faaaf944fc3dabe,False,
toxicity_risk,complete,8,toxinpred3-corrected-v0.2-dcdba83,28cee9c8eafe5ad95fbb88fd1500b218ab988744eebe08312109370db2e34615,False,
mic_potency,complete,8,llamp-bb48daa-esm2-16b0dddc,58397a74abae4a09c855571c360e3a6164dc6d884ada383fc982bad7a22ff6e6,False,
mic_potency_amp_read,complete,8,amp-read-ec9478b-open-weights-cpu-v1,bde2a1e905002905e8b356bb0fca09763ffc678695db29f29616ad55a426be35,False,
