plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,16,2026.08.04-v1,4c30aaba487e722a1f5b8f858b8f41b343a309fc32fb7fc05a90766b4bbea65e,
hemolysis_risk,complete,16,macrel-1.6.1-8c1f732,14d24e5bf09ef9416936942c23766cd0ff8103334fe24dac3e7cd2271f479e44,
toxicity_risk,complete,16,toxinpred3-corrected-v0.2-dcdba83,72411aab0d8c36208f191cb0fab21f454f071a982ae26fe54c5849265323877b,
mic_potency,complete,16,llamp-bb48daa-esm2-16b0dddc,c011d3c0f9f9380b9c42e3fca711c0c56843ac87a2cba88ef8358a7d2b3b24ef,
mic_potency_amp_read,complete,16,amp-read-ec9478b-open-weights-cpu-v1,080619b413b4e3bc7470f358905a5890fe6e605de51257f98b53019cb0a359f6,
