cohort,metric_a,metric_b,n,spearman_utility_rho,spearman_p_value,top_quartile_overlap_n,top_quartile_jaccard,direct_opposition_n,direct_opposition_pct
all,amp_read_log10_mic_um,llamp_log10_mic_um,6182,0.6173238545205069,0.0,906,0.41445562671546204,109,1.7631834357813003
all,macrel_amp_probability,amp_read_log10_mic_um,6182,0.6317052220910321,0.0,757,0.3156797331109258,90,1.455839534131349
all,macrel_amp_probability,llamp_log10_mic_um,6182,0.5241350444950545,0.0,746,0.30967206309672063,197,3.186670980265286
all,macrel_amp_probability,macrel_hemolysis_probability,6182,-0.8761941030059448,0.0,1,0.00031575623618566466,2385,38.57974765448075
all,macrel_amp_probability,toxinpred3_hybrid_score,6182,-0.25478813564503805,3.35931344365896e-92,188,0.06296048225050234,1249,20.20381753477839
all,hydrophobic_moment_eisenberg,macrel_hemolysis_probability,6182,-0.50226433169538,0.0,88,0.02916804772953265,1521,24.6036881268198
all,net_charge_ph7_4,macrel_hemolysis_probability,6182,-0.6440079908674335,0.0,19,0.006043256997455471,1876,30.34616628922679
all,hydrophobic_ratio_modlamp,macrel_hemolysis_probability,6182,-0.22089756720749804,3.3642318533548187e-69,330,0.11623811201127157,1049,16.968618570042057
mature_core,amp_read_log10_mic_um,llamp_log10_mic_um,39,0.32773279352226725,0.04167643639157232,5,0.3333333333333333,1,2.564102564102564
mature_core,macrel_amp_probability,amp_read_log10_mic_um,39,-0.056002844273721035,0.7348924766285444,3,0.16666666666666666,6,15.384615384615385
mature_core,macrel_amp_probability,llamp_log10_mic_um,39,0.11291712724267441,0.4937111244627204,3,0.16666666666666666,6,15.384615384615385
mature_core,macrel_amp_probability,macrel_hemolysis_probability,39,-0.5027112105835789,0.001108193396726499,1,0.047619047619047616,12,30.76923076923077
mature_core,macrel_amp_probability,toxinpred3_hybrid_score,39,0.2604083891828087,0.10935454530685719,7,0.25925925925925924,7,17.94871794871795
mature_core,hydrophobic_moment_eisenberg,macrel_hemolysis_probability,39,-0.11871965000291232,0.4716273060153638,1,0.05,6,15.384615384615385
mature_core,net_charge_ph7_4,macrel_hemolysis_probability,39,-0.5479739795706883,0.0003049851019460032,1,0.05,12,30.76923076923077
mature_core,hydrophobic_ratio_modlamp,macrel_hemolysis_probability,39,0.03041208377367052,0.8541809289531362,2,0.10526315789473684,5,12.82051282051282
