cohort,metric,label,count,percentage,failed,ood
all,toxinpred3_label,Non-Toxin,3704,59.91588482691685,0,0
all,toxinpred3_label,Toxin,2478,40.08411517308315,0,0
all,macrel_hemolysis_label,high,4525,73.1963765771595,0,0
all,macrel_hemolysis_label,low,1657,26.803623422840506,0,0
hard_safety,toxinpred3_label,Non-Toxin,1139,100.0,0,0
hard_safety,macrel_hemolysis_label,low,1139,100.0,0,0
mature_core,toxinpred3_label,Non-Toxin,39,100.0,0,0
mature_core,macrel_hemolysis_label,low,39,100.0,0,0
structure_selected,toxinpred3_label,Non-Toxin,48,100.0,0,0
structure_selected,macrel_hemolysis_label,low,48,100.0,0,0
