plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,157,2026.08.04-v1,5d99a35ac70bf4187f6e9fbd96b09d486c78f5e6df02fff6b0d773cc16a365f1,
hemolysis_risk,complete,157,macrel-1.6.1-8c1f732,d5ceeddbe037684dcfb60149c7107c0672b2064679d06e6ce47dad6a10bd7843,
toxicity_risk,complete,157,toxinpred3-corrected-v0.2-dcdba83,9d7fd26397d63fb893bd7c4ff6a27e1c1b0526a4e90e38278ff20971ea6ea279,
mic_potency,complete,157,llamp-bb48daa-esm2-16b0dddc,479d9fd6cb2d3049d1c9622180561dd587f695faef957f74405eea3f9a3dbe0c,
mic_potency_amp_read,complete,157,amp-read-ec9478b-open-weights-cpu-v1,d474fda5c15c7aac5cafe012c71e0062e52b6cdc144283a576b4065de0241731,
