plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,200,2026.08.04-v1,88239226cfea3e87e9905c36e6166b033de27505af91626c51d0acd37bae642f,
hemolysis_risk,complete,200,macrel-1.6.1-8c1f732,7610c82a0483bd5794fc220a0053e204a22e789c16249b24e59760b0761554b1,
toxicity_risk,complete,200,toxinpred3-corrected-v0.2-dcdba83,bfc9f71fc449cd82e26eff5b37c908397c0a41591d694d6ce01e8af678434600,
mic_potency,complete,200,llamp-bb48daa-esm2-16b0dddc,ebccc688c35740cdffafbb9055523ec89c6347abb8cc46c13fbf70913c72a5f7,
mic_potency_amp_read,complete,200,amp-read-ec9478b-open-weights-cpu-v1,44ec452bc7c5bd42a0747ea4939bbb0ffd6f9e9d8f5ee98fd62e17ff231be80d,
