plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,48,2026.08.04-v1,d178ec309f4a55f077966124e5ee7661f8a8fb40aa4786fd6db5eb357fba666b,
hemolysis_risk,complete,48,macrel-1.6.1-8c1f732,c170614492d130c8bba4c1c34ab19cbead648788fe6401b9f7e925b869da195f,
toxicity_risk,complete,48,toxinpred3-corrected-v0.2-dcdba83,d7e8633adc0a4ea601052b267aa70e0ee48d8484d899fc6e9e96dff07c604b98,
mic_potency,complete,48,llamp-bb48daa-esm2-16b0dddc,fd51c01c0ec9b04b968b64cecae7a4dfa1d692c17c0f7b18f70324a9ffdafd63,
mic_potency_amp_read,complete,48,amp-read-ec9478b-open-weights-cpu-v1,857331f4ece3d4b9a7ff8aad170af26a3be3448582ae208f7d73a9acd222afd4,
