plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,3547,2026.08.04-v1,78c8e1febd0a1d2ecdc378ed522e014672a04a592a41b88bca7a5110972ef662,
hemolysis_risk,complete,3547,macrel-1.6.1-8c1f732,709f0e154b7e90fd9a0015a11f1809d0925ff932dc71fb257a73514a4158ef9b,
toxicity_risk,complete,3547,toxinpred3-corrected-v0.2-dcdba83,b9aa58872fba09b7454495c80619511415f209cf601290d34bc6306a12c94912,
mic_potency,complete,3547,llamp-bb48daa-esm2-16b0dddc,c4a5e900d261a42ebad4032e741e30a85bf75dde35324a55000c6207a63b4505,
mic_potency_amp_read,complete,3547,amp-read-ec9478b-open-weights-cpu-v1,18c1c0b68c33b0eb1b9950624bb9f4ad02fca6fa5aab95235c5876643e14f4b2,
