plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,30,2026.08.04-v1,d81da62a83f2e26fd25f0eb8325dd2dc459b902f1a29409c2b8202d6bc9c3d08,
hemolysis_risk,complete,30,macrel-1.6.1-8c1f732,699ec40e7b4a93f9d2c9444e94104b22d3c2f022aaec7a2470f4347138a34e13,
toxicity_risk,complete,30,toxinpred3-corrected-v0.2-dcdba83,2e7bd0773a07fa9d585b7ab4291a55f9425b779cf1f0b60f6949d84e74014319,
mic_potency,complete,30,llamp-bb48daa-esm2-16b0dddc,b34dad4783aeabf9c1f45983e393911cff0cf6ddf1358fb3f8e50be291d5ecd0,
mic_potency_amp_read,complete,30,amp-read-ec9478b-open-weights-cpu-v1,2539b05efadf9861dda598035c13bfc49f90e0037df04e81c45134e7a4049ee5,
