plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,153,2026.08.04-v1,d3f3abb1c99d765e1b585c2fe626cd07fbdf40e1511a8d7f9c5020efcd2c745f,
hemolysis_risk,complete,153,macrel-1.6.1-8c1f732,150560e839d0e285db12669912fdba66d8efdc99ac5efe657d5dc851d13e2fdb,
toxicity_risk,complete,153,toxinpred3-corrected-v0.2-dcdba83,ad5b64cd7f53f3a506d4d534a7ee2c10173d19cb9919c58cd08a325c70798357,
mic_potency,complete,153,llamp-bb48daa-esm2-16b0dddc,ac904aad2e24e1c1e0e94af1acd5d63bcfe0a6a7ba78d4f0ccdbc29eee25230b,
mic_potency_amp_read,complete,153,amp-read-ec9478b-open-weights-cpu-v1,1eabaff3c224146d200777e38259049d340b464f389c6ac75316a63836f8bf79,
