plugin,status,candidate_count,adapter_version,result_sha256,reason_category
physicochemical_developability,complete,61,2026.08.04-v1,311f7f04b6cc41d88a44288ee01421b6e0ec34d09c95ef3a5d956561862103d5,
hemolysis_risk,complete,61,macrel-1.6.1-8c1f732,5ced31703e4bd4670bbb331280c9b204615699a76532416505de24a041a85960,
toxicity_risk,complete,61,toxinpred3-corrected-v0.2-dcdba83,7b610557c6ea3e617efa383296cae400575c71ddad759005fe1291b301c9f6b5,
mic_potency,complete,61,llamp-bb48daa-esm2-16b0dddc,3baf5ae73631c632744a2c7cf6ffbf6a38467389430e61fc69d7fb4849cd1553,
mic_potency_amp_read,complete,61,amp-read-ec9478b-open-weights-cpu-v1,c8ece5230012161b9f553d0ba02d4cb812d2f31ae81ec3752983d98c1dcda52d,
